date,close,volume,open,high,low
06-02-2018,163.03,68171940,154.83,163.72,154
05-02-2018,156.49,72215320,159.1,163.88,156
02-02-2018,160.5,85957050,166,166.8,160.1
01-02-2018,167.78,44453230,167.165,168.62,166.76
31-01-2018,167.43,32234520,166.87,168.4417,166.5
30-01-2018,166.97,45635470,165.525,167.37,164.7
29-01-2018,167.96,50565420,170.16,170.16,167.07
26-01-2018,171.51,39075250,172,172,170.06
25-01-2018,171.11,41438280,174.505,174.95,170.53
24-01-2018,174.22,51368540,177.25,177.3,173.2
23-01-2018,177.04,32395870,177.3,179.44,176.82
22-01-2018,177,27052000,177.3,177.78,176.6016
19-01-2018,178.46,31306390,178.61,179.58,177.41
18-01-2018,179.26,31087330,179.37,180.1,178.25
17-01-2018,179.1,34260230,176.15,179.25,175.07
16-01-2018,176.19,29512410,177.9,179.39,176.14
12-01-2018,177.09,25302200,176.18,177.36,175.65
11-01-2018,175.28,18653380,174.59,175.4886,174.49
10-01-2018,174.29,23751690,173.16,174.3,173
09-01-2018,174.33,21532200,174.55,175.06,173.41
08-01-2018,174.35,20523870,174.35,175.61,173.93
05-01-2018,175,23589930,173.44,175.37,173.05
04-01-2018,173.03,22342650,172.54,173.47,172.08
03-01-2018,172.23,29461040,172.53,174.55,171.96
02-01-2018,172.26,25400540,170.16,172.3,169.26
29-12-2017,169.23,25938760,170.52,170.59,169.22
28-12-2017,171.08,16412270,171,171.85,170.48
27-12-2017,170.6,21477380,170.1,170.78,169.71
26-12-2017,170.57,33113340,170.8,171.47,169.679
22-12-2017,175.01,16339690,174.68,175.424,174.5
21-12-2017,175.01,20848660,174.17,176.02,174.1
20-12-2017,174.35,23451420,174.87,175.42,173.25
19-12-2017,174.54,27393660,175.03,175.39,174.09
18-12-2017,176.42,29385650,174.88,177.2,174.86
15-12-2017,173.97,40122100,173.63,174.17,172.46
14-12-2017,172.22,20442740,172.4,173.13,171.65
13-12-2017,172.27,23402510,172.5,173.54,172
12-12-2017,171.7,19088170,172.15,172.39,171.461
11-12-2017,172.67,34260890,169.2,172.89,168.79
08-12-2017,169.37,23285760,170.49,171,168.82
07-12-2017,169.32,25656110,169.03,170.44,168.91
06-12-2017,169.01,28397810,167.5,170.2047,166.46
05-12-2017,169.64,27315530,169.06,171.52,168.4
04-12-2017,169.8,32512580,172.48,172.62,169.63
01-12-2017,171.05,39735110,169.95,171.67,168.5
30-11-2017,171.85,41484540,170.43,172.14,168.44
29-11-2017,169.48,41459120,172.63,172.92,167.16
28-11-2017,173.07,26387240,174.3,174.87,171.86
27-11-2017,174.09,20591090,175.05,175.08,173.34
24-11-2017,174.97,14026670,175.1,175.5,174.6459
22-11-2017,174.96,25558680,173.36,175,173.05
21-11-2017,173.14,25047130,170.78,173.7,170.78
20-11-2017,169.98,16041550,170.29,170.56,169.56
17-11-2017,170.15,21884010,171.04,171.39,169.64
16-11-2017,171.1,23598650,171.18,171.87,170.3
15-11-2017,169.08,28998220,169.97,170.3197,168.38
14-11-2017,171.34,24683350,173.04,173.48,171.18
13-11-2017,173.97,16956290,173.5,174.5,173.4
